#,Black player,Rank,White player,Rank,Result,# moves,Date,Event,Round
48,Yashiro Kumiko,6p,Sugiuchi Kazuko,8p,B+R,171,2017-02-02, , 
49,ÑÒÍèÆ½,6p,Ida Atsushi,8p,W+R,186,2017-02-02, , 
50,ÌÙ´åÑó¸¨,3p,Kobayashi Satoru,9p,W+R,216,2017-02-02, , 
51,Yamada Kimio,9p,´ó¹ÈÖ±»Ô,9p, ,304,2017-02-02, , 
52,Takemiya Masaki,9p,Fukui Masaaki,9p,B+R,187,2017-02-02, , 
53,bagsangjin [~],1p ?,gang'uhyeog [~],1p ?,B+R,147,2017-02-01, , 
54,bagjin'yeong [~],2p,coeyeongcan [~],1p ?,W+R,266,2017-02-01, , 
55,Yokota Shigeaki,9p,¹úÔó´ó¶·,2p,B+R,137,2017-02-01, , 
56,Sonoda Yuichi,9p,Honda Kunihisa,9p,B+R,209,2017-02-01, , 
57,Iyama Yuta,9p,Ke Jie,9p,W+R,200,2017-01-31, , 
58,Xie Yimin,9p,Nyu Eiko,1p ?,W+R,186,2017-01-30,"Female Kisei, 20th","Title match, game 2"
59,ÄÚº£»ÎÏ£,1p ?,·ç¼äöÀ,2p,B+R,177,2017-01-30, , 
60,Ð¡Ò°ÌïÍØÃÖ,3p,ÁùÆÖÐÛÌ«,3p,W+R,274,2017-01-30, , 
61,Yamashiro Hiroshi,9p,Ogata Masaki,9p,B+R,248,2017-01-30, , 
62,Park Jungwhan,9p,Ke Jie,9p,W+R,218,2017-01-30, , 
63,Yuki Satoshi,9p,Murakawa Daisuke,8p,B+R,193,2017-01-29, , 
64,Iyama Yuta,9p,Ke Jie,9p,B+R,233,2017-01-29, , 
65,bagjinsol [~],7p,Shin Minjun,5p,W+R,226,2017-01-27, , 
66,bagjonghun [~],2p,baghyeonsu [~],1p ?,B+R,217,2017-01-26, , 
67,Kim Seung Jae,7p,bagjaegeun [~],2p,B+0.5,253,2017-01-26, , 
68,O Meien,9p,·ç¼äöÀ,2p,B+R,197,2017-01-26, , 
69,Hikosaka Naoto,9p,Ð¡ÌïÌú±ø,2p, ,259,2017-01-26, , 
70,bagjeongsu [~],1p ?,seolhyeonjun [~],3p,W+R,176,2017-01-26, , 
71,Cho Sonjin,9p,ÒÁÌÙÓÅÊ«,4p,B+5.5,241,2017-01-26, , 
72,Cho Chikun,9p,Xie Yimin,6p,B+6.5,267,2017-01-26, , 
73,Ishida Yoshio,9p,ÌïÔ­¾¸Ê·,7p,B+R,131,2017-01-26, , 
74,Ryu Shikun,9p,Kim Shushun,8p,W+R,84,2017-01-26, , 
75,Tajiri Yuto,4p,Takemiya Masaki,9p,W+R,216,2017-01-26, , 
76,Shuto Shun,7p,Kataoka Satoshi,9p,B+R,204,2017-01-26, , 
77,ÓàÕý÷è,7p,Imamura Toshiya,9p, ,317,2017-01-26, , 
78,Cho U,9p,Takao Shinji,9p,W+R,240,2017-01-26, , 
79,Ogaki Yusaku,9p,Otake Hideo,9p,B+R,121,2017-01-26, , 
80,gimdong'u [~],1p ?,gang'uhyeog [~],1p ?,W+R,192,2017-01-25, , 
81,bagjin'yeong [~],2p,yunminjung [~],1p ?,B+R,157,2017-01-25, , 
82,Seto Taiki,8p,¸ßµºÓ¿Îá,2p,W+0.5,298,2017-01-25, , 
83,ãñ¿ÚÕþ¼¾,9p,×ôÌïóÆÊ·,3p,W+5.5,252,2017-01-25, , 
84,Honda Kunihisa,9p,Ô¶ÌÙÂ¡²©,9p,B+R,163,2017-01-25, , 
85,Paek Hongseok,9p,An Cho-yeong,9p,W+R,214,2017-01-25, , 
86,mun'yubin [~],5 dan,iseungjun [~],5 dan,W+R,254,2017-01-23, , 
87,Ò¦ÖÇÌÚ,3p,Numadate Sakiya,4p,B+R,169,2017-01-23, , 
88,Yun Chun-sang,9p,Mok Jinseok,9p,B+3.5,281,2017-01-23, , 
89,Kono Rin,9p,Iyama Yuta,9p,W+5.5,301,2017-01-23,"Kisei, 41st","Title match, game 2"
90,Ko Iso,8p,Kono Rin,9p,W+R,254,2017-01-22, , 
91,Zhou Ruiyang,9p,Lian Xiao,7p,W+R,198,2017-01-21, , 
92,coeyeongcan [~],1p ?,hyeon'yubin [~],1p ?,B+R,149,2017-01-20, , 
93,gim'yeongdo [~],1p ?,bagsangjin [~],1p ?,W+R,154,2017-01-20, , 
94,coejaeyeong [~],3p,Hong Seongji,9p,W+R,232,2017-01-20, , 
95,Lian Xiao,7p,Mi Yuting,9p,B+R,191,2017-01-20, , 
96,Zhou Ruiyang,9p,Gu Li,9p,B+5.5,290,2017-01-20, , 
97,baghyeonsu [~],1p ?,gimminjeong [~],1p ?,B+R,131,2017-01-19, , 
98,gimjimyeong [~],1p ?,seolhyeonjun [~],3p,W+R,172,2017-01-19, , 
99,ÏÂÛàÃÀÖ¯,2p,°ÂÌï²Ê,3p,W+R,222,2017-01-19, , 
100,Ryu Minhyung,5p,Park Jiyeon,4p,B+R,207,2017-01-19, , 
1,Cho U,9p,½đÑ̃,4p,B+R,109,2017-01-19, , 
2,Koyama Mitsuru,6p,Shinkai Hiroko,5p,B+R,157,2017-01-19, , 
3,O Meien,9p,¸ßÀæÊ¥½¡,8p,B+R,181,2017-01-19, , 
4,Cho Chikun,9p,Jin Zexiunan,8p,W+5.5,230,2017-01-19, , 
5,Nyu Eiko,1p ?,Xie Yimin,9p,W+R,154,2017-01-19,"Female Kisei, 20th","Title match, game 1"
6,Æ½̀ïÖÇ̉²,7p,Otake Hideo,9p,W+3.5,262,2017-01-19, , 
7,ºÓ̉°¹âÊ÷,8p,Ryu Shikun,9p,W+R,156,2017-01-19, , 
8,Yamashita Keigo,9p,Hane Naoki,9p,B+R,229,2017-01-19, , 
9,bagjeongsu [~],1p ?,Kweon Hyo-chin,1p ?,B+2.5,241,2017-01-18, , 
10,bagjonghun [~],2p,gimseongi [~],1p ?,B+R,221,2017-01-18, , 
11,Sonoda Yuichi,9p,ÇÅ±¾¿í,2p,B+R,191,2017-01-18, , 
12,Moriyama Naoki,9p,Îâ²®̉ă,3p,W+R,150,2017-01-18, , 
13,Zhou Ruiyang,9p,Mao Ruilong,5p,B+R,169,2017-01-18, , 
14,Gu Li,9p,Chen Xian,5p,B+R,323,2017-01-18, , 
15,¶É±ß¹±¹æ,2p,½đ̉°ÎªÈË,7p,B+R,137,2017-01-18, , 
16,Xie He,9p,Lian Xiao,7p,W+R,158,2017-01-18, , 
